SMALL_AREA,OBJECTID,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,GEOGID,ESRI_OID,Shape__Are,Shape__Len,Cluster
267035003,11588,4c07d11e-21ce-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3003,267035,Bohernabreena,267035003,A267035003,11588,1.15E-05,0.016907761,5
267112015,11589,4c07d11e-1bd8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3021,267112,Rathcoole,267112015,A267112015,11589,8.04E-06,0.01715408,4
267112005/01,11604,4c07d11e-1bbd-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3021,267112,Rathcoole,267112005,A267112005,11604,7.98E-06,0.018234711,5
267140011,11610,4c07d11e-1c03-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140011,A267140011,11610,3.89E-06,0.008543296,6
267107013,11612,4c07d11e-1be6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3018,267107,Newcastle,267107013,A267107013,11612,6.87E-06,0.01373985,2
267112010,11613,4c07d11e-1bbe-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3021,267112,Rathcoole,267112010,A267112010,11613,9.51E-06,0.015046896,4
267112004,11614,4c07d11e-1bb1-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3021,267112,Rathcoole,267112004,A267112004,11614,6.22E-06,0.012517184,5
267112006,11615,4c07d11e-1bbc-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3021,267112,Rathcoole,267112006,A267112006,11615,9.35E-06,0.014631779,5
267140013,11620,4c07d11e-1c04-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140013,A267140013,11620,1.21E-05,0.016828156,6
267140014,11621,4c07d11e-1c05-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140014,A267140014,11621,3.27E-06,0.011684622,5
267140002,11622,4c07d11e-1bf4-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140002,A267140002,11622,8.08E-06,0.018744686,5
267119007,11623,4c07d11e-1be7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3027,267119,Saggart,267119007,A267119007,11623,3.74E-05,0.027838567,5
267140026,11624,4c07d11e-1be8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140026,A267140026,11624,1.07E-05,0.022231436,5
267119005,11625,4c07d11e-1bd9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3027,267119,Saggart,267119005,A267119005,11625,5.66E-06,0.01288583,2
267140055/01,11631,4c07d11e-1bf5-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140055/01,A267140055/01,11631,7.73E-06,0.013504017,2
267138003,11632,4c07d11e-1bf6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3030,267138,Tallaght-Fettercairn,267138003,A267138003,11632,5.74E-06,0.010428932,6
267138015,11633,4c07d11e-1bf7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3030,267138,Tallaght-Fettercairn,267138015,A267138015,11633,2.93E-06,0.009288565,2
267119004/01,11635,4c07d11e-1bda-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3027,267119,Saggart,267119004,A267119004,11635,6.21E-06,0.016137549,2
267140008,11650,4c07d11e-224c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140008,A267140008,11650,5.65E-06,0.01189986,5
267141001,11680,4c07d11e-2258-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3033,267141,Tallaght-Killinardan,267141001,A267141001,11680,5.23E-06,0.01409281,6
267140019,11690,4c07d11e-224d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140019,A267140019,11690,3.35E-06,0.009998977,6
267140018,11691,4c07d11e-2257-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140018,A267140018,11691,1.12E-05,0.016683098,6
267112008/01,11696,4c07d11e-223f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3021,267112,Rathcoole,267112008,A267112008,11696,3.71E-05,0.031462507,2
267140005,11697,4c07d11e-2240-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140005,A267140005,11697,4.25E-06,0.012480995,2
267140009,11698,4c07d11e-224b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140009,A267140009,11698,6.38E-06,0.013035096,2
267140052,11699,4c07d11e-1c15-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140052,A267140052,11699,6.36E-06,0.011756704,6
