SMALL_AREA,Cluster
267043003,4
268127005,4
268127013,7
268127014,4
267157009,4
267155005,3
268145014,4
268090006,3
268090007,6
268091002,3
268054015,4
268148002,7
268145015,4
268136012,7
268145007,4
267150014,4
268092008,7
268153004,7
268085006,3
268084003,3
268085009,1
268084005,7
268144005,7
268054014,3
268057009,3
268057007,6
267150016,4
267150005,4
268093005,4
268144006,7
268144004,7
268144003,4
268144008,4
268144007,7
268052006,3
267156004,4
268144013,7
268136009,7
268135005,7
268144002,7
268136013,7
267155004,3
268154003,3
267152007,4
267150015,4
267150013,4
268127016,7
268127015,7
268127001,4
268155001,3
268156006,3
268156003,3
268052010,3
268055009,3
268132003,7
268132002,3
268055004,3
268052009,3
268052002,3
268052008,3
268052007,3
268053002,3
268053004,3
268053010,3
268037007,3
268055008,3
268051006,3
267150010,5
267117010,4
268148001,7
268148003,7
268095007,3
268095008,3
268054005,3
268057010,3
268057011,3
268057004,6
268083003,3
268091010,3
268085001/02,7
267115015,4
267117011,4
268084008,7
268085010/02,2
268084009,1
268085016,3
268153008,7
268052004,3
268152002,7
268084002,7
268055010,3
268051001,3
268127003,4
268154007,3
268155004,4
267154008,7
267114008,4
267117007,7
267050036,5
267050021,3
268056011,3
268039006,3
268039009,3
267052003,6
267013012,4
267113006,4
267113005,4
267013013,4
267010002,4
267115017,4
267116005,4
267115006,4
267145007,3
267047003,4
267142004,4
267146001,4
267148003,3
267142009,4
267114006,4
267116006,4
267146013,3
268007012,4
268082001,3
268003003,1
268082010,6
267142005,4
267103004,2
267100006,2
267148017,3
267142008,4
267151002,4
267150012,7
267151013,4
267153004,4
267153003,4
267013014,4
267013010,4
267147010,3
267100009,5
267100012,3
267100047,5
267100015,5
267150018,4
267150017,4
267150007,4
268146004,4
267114002,4
267116012,4
267114011,4
267114010,4
267103016/03,2
267050035,4
267051011,5
267141010,6
267141004,6
267146002,4
267052001,5
267051003,6
267146004,4
267052009,6
267052012,3
267052013,2
267051006,6
267050015,4
267051007,6
267051005,6
267148013,6
267086011,4
267086007,4
267086012,4
267146006,4
267146012,3
267144007,3
267145011,4
267147011,3
267147016,3
267147008/02,3
267144006,3
267051016,6
267147020,3
267145005,3
267139001,2
267140048,6
267141011,6
267147001,3
267138020,6
267086004,4
267086009,4
267013016,4
