ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
247,Malahide Coast Carpark,COAST ROAD,,2, , ,TRUE, ,Beach,53.45004723,-6.138734865
248,Malahide Coast Carpark,ACCESS ROAD,,2, , ,TRUE, ,Beach,53.4505705,-6.140052715
249,Malahide Coast Carpark,ACCESS ROAD,,2, , ,TRUE, ,Beach,53.4505857,-6.140083781
250,The Golf Links Pub,STRAND ROAD,,2,TRUE, ,TRUE,TRUE,Pub,53.42048912,-6.138128474
251,The Golf Links Pub,STRAND ROAD,,2,TRUE, ,TRUE,TRUE,Pub,53.42047259,-6.138091424
252,Portmarnock Sports and Leisure Club,BLACKWOOD LANE,,2, , ,TRUE, ,Sports Club,53.43449114,-6.138821503
253,Portmarnock Sports and Leisure Club,BLACKWOOD LANE,,2, , ,TRUE, ,Sports Club,53.43458259,-6.138842165
254,Portmarnock Sports and Leisure Club,BLACKWOOD LANE,,2, ,TRUE,TRUE, ,Sports Club,53.43387368,-6.139545547
255,Portmarnock Sports and Leisure Club,BLACKWOOD LANE,,2, ,TRUE,TRUE, ,Sports Club,53.43387907,-6.139499351
256,Donabate Medical Centre,PORTRANE ROAD,,1,TRUE, ,TRUE, ,"Chemist, Newsagents, Health Centre, Insurance Broker",53.49248019,-6.135995631
257,Portmarnock Makin Street,STRAND ROAD,,1, , ,TRUE, ,"Chemist, Cafe, Takeaway",53.42206449,-6.135748007
258,St Annes Church Portmarnock,STRAND ROAD,,3,TRUE, ,TRUE,TRUE,Church,53.42133073,-6.135992309
259,St Annes Church Portmarnock,STRAND ROAD,,3,TRUE, ,TRUE,TRUE,Church,53.4214233,-6.136079823
260,St Annes Church Portmarnock,STRAND ROAD,,3,TRUE, ,TRUE,TRUE,Church,53.42144356,-6.136055345
261,St Annes Church Portmarnock,STRAND ROAD,,2, , ,TRUE, ,Church,53.421538,-6.135369173
262,St Annes Church Portmarnock,STRAND ROAD,,2, , ,TRUE,TRUE,Church,53.42157504,-6.135430815
263,Racecourse Shopping Centre,GRANGE ROAD,,2,TRUE, ,TRUE,TRUE,"Chemist, Newsagents, Supermarket, Hairdresser, Shopping Centre, Takeaway, Florist",53.39670778,-6.137877559
264,Racecourse Shopping Centre,GRANGE ROAD,,2,TRUE, ,TRUE,TRUE,"Chemist, Newsagents, Supermarket, Hairdresser, Shopping Centre, Takeaway, Florist",53.39671347,-6.137837663
265,Bayside Train Station,FOOTPATH,,2, , ,TRUE, ,Train,53.39125871,-6.136811344
266,Bayside Train Station,FOOTPATH,,2, , ,TRUE, ,Train,53.39125928,-6.136852868
267,Pormarnock Beach Carpark,GOLF LINKS ROAD,,3, , ,TRUE, ,Beach,53.41686051,-6.127745956
268,Pormarnock Beach Carpark,GOLF LINKS ROAD,,3, , ,TRUE, ,Beach,53.41683063,-6.127747104
269,Pormarnock Beach Carpark,GOLF LINKS ROAD,,3, , ,TRUE, ,Beach,53.41680239,-6.127743984
270,Dunnes Stores,WENDELL AVENUE,,1,TRUE, ,TRUE, ,"Chemist, Butcher, Newsagents, Supermarket",53.43469405,-6.130251913
271,Dunnes Stores,WENDELL AVENUE,,2, , ,TRUE, ,"Chemist, Butcher, Newsagents, Supermarket",53.43485667,-6.1303018
272,Dunnes Stores,WENDELL AVENUE,,2, , ,TRUE,TRUE,"Chemist, Butcher, Newsagents, Supermarket",53.43487937,-6.130301683
273,Malahide Utd- Gannon Park,COAST ROAD,,2, , ,TRUE, ,Sports Club,53.44329938,-6.12739523
274,Malahide Utd- Gannon Park,COAST ROAD,,2, , ,TRUE, ,Sports Club,53.44330547,-6.127443829
275,Malahide Utd- Gannon Park,COAST ROAD,,2, , ,TRUE, ,Sports Club,53.44343994,-6.127306295
276,Malahide Utd- Gannon Park,COAST ROAD,,2, , ,TRUE, ,Sports Club,53.44343588,-6.127265961
277,Robswall Park,COAST ROAD,,4, , ,TRUE, ,Park,53.44352627,-6.12539869
278,Robswall Park,COAST ROAD,,4, , ,TRUE, ,Park,53.44349634,-6.125383566
279,Robswall Park,COAST ROAD,,4, , ,TRUE, ,Park,53.44343823,-6.125449051
280,Robswall Park,COAST ROAD,,4, , ,TRUE, ,Park,53.44341637,-6.125486909
281,Portmarnock Hotel,STRAND ROAD,,2, , ,TRUE, ,Hotel,53.42991484,-6.125416656
282,Portmarnock Hotel,STRAND ROAD,,2, , ,TRUE,TRUE,Hotel,53.42992668,-6.125453617
283,Portmarnock Beach Public Carpark,STRAND ROAD,,2,TRUE, ,TRUE, ,Beach,53.43036253,-6.125408069
284,Portmarnock Beach Public Carpark,STRAND ROAD,,2, , ,TRUE, ,Beach,53.43034767,-6.125414982
285,Outside House,COLLEGE STREET,,1, , ,TRUE, ,Housing,53.39726383,-6.128460896
286,Baldoyle Church,MAIN STREET,,1,TRUE, ,TRUE, ,Church,53.39909723,-6.127174386
287,Skerries Train Station,TRAIN STATION ACCESS,,6, ,TRUE,TRUE,TRUE,Train,53.57431281,-6.119284548
288,Skerries Train Station,TRAIN STATION ACCESS,,6, ,TRUE,TRUE,TRUE,Train,53.57428503,-6.119247317
289,Skerries Train Station,TRAIN STATION ACCESS,,6, ,TRUE,TRUE,TRUE,Train,53.57425658,-6.119212519
290,Skerries Train Station,TRAIN STATION ACCESS,,6, ,TRUE,TRUE, ,Train,53.57420834,-6.119147348
291,Skerries Train Station,TRAIN STATION ACCESS,,6, ,TRUE,TRUE,TRUE,Train,53.57423098,-6.119176392
292,Skerries Community Centre,THOMAS HAND STREET,,1,TRUE, ,TRUE, ,Community Centre,53.577555,-6.111679313
293,Marine Hotel,DUBLIN ROAD,,2, , ,TRUE, ,Hotel,53.38885444,-6.110685953
294,Houses,NEW STREET,,1, , ,TRUE, ,Housing,53.57872084,-6.110417734
295,St Ita Hospital,NA,,2,TRUE, ,TRUE, ,Hospital,53.48761209,-6.112539028
296,St Ita Hospital,NA,,2,TRUE, ,TRUE,TRUE,Hospital,53.48762159,-6.112593077
297,Outside Jenbini's,CHURCH STREET,,1, , ,TRUE, ,"Hairdressers, Pub",53.57995145,-6.109612958
298,Skerries Mills,ACCESS SKERRIES MILL,,2, , ,TRUE, ,Tourist Attraction,53.57484497,-6.109276376
299,Skerries Mills,ACCESS SKERRIES MILL,,2, , ,TRUE,TRUE,Tourist Attraction,53.57483693,-6.109336392
300,Opposite Super Valu,CHURCH STREET,,1, , ,TRUE, ,"Supermarket, Church",53.57822729,-6.107302429
301,Opposite Super Valu,CHURCH STREET,,1, , ,TRUE, ,"Supermarket, Church",53.57806897,-6.107095136
302,Outside Super Valu,CHURCH STREET,,1, , ,TRUE, ,"Supermarket, Church",53.57799486,-6.107202804
303,Sutton Train Station,FOOTPATH,,1, ,TRUE,TRUE, ,Train,53.39187575,-6.1158674
304,Sutton Train Station,FOOTPATH,,3, ,TRUE,TRUE,TRUE,Train,53.39190262,-6.116437457
305,Sutton Train Station,FOOTPATH,,3, ,TRUE,TRUE, ,Train,53.39190444,-6.116487455
306,Sutton Train Station,FOOTPATH,,3, ,TRUE,TRUE,TRUE,Train,53.39190795,-6.116531626
307,Off Main Street,THOMAS HAND STREET,,1, , ,TRUE, ,"Housing, Pub",53.58057811,-6.10830422
308,Suttonians RFC,STATION ROAD,,1, ,TRUE,TRUE, ,Sports Club,53.39095848,-6.115122132
309,Houses,COLLEGE COURT,,1, , ,TRUE,TRUE,"Newsagents, Housing",53.58092481,-6.107566564
310,Houses,HARBOUR ROAD,,1,TRUE, ,TRUE, ,Housing,53.58243251,-6.105941748
311,Opposite Cafe,STRAND STREET,,1, , ,TRUE, ,"Cafe, Restaurant",53.57913999,-6.106394454
312,Coastal Carpark,CHURCH STREET,,1, , ,TRUE, ,Coast Area,53.57939173,-6.105244015
313,Opposite Shankey menswear,STRAND STREET,,1, , ,TRUE, ,Clothes Shop,53.57722892,-6.105528808
