Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,"""x"" East Coordinates","""y"" North Coordinates",TOTAL,Complete & occupied,Complete & vacant
Ashill Manor ,Charlivelle Rd,Kilmallock,Limerick Co,560669,627442,158,8,12
 Glen Grove ,Charlivelle Rd,Kilmallock,Limerick Co,560706,627292,23,19,0
 Glenduff , Kilmallock Rd.,Kilfinane ,Limerick Co,567612,622871,7,2,1
Tourmore,Main St,Bruree,Limerick Co,555458,630467,40,13,7
 Dev. site(opp.Tourmore),Main St,Bruree,Limerick Co,555466,630467,4,0,0
 Cois Na Feile, Clash Rd , Abbeyfeale ,Limerick Co,512521,626427,24,0,12
River Garden, Killarney Rd., Abbeyfeale ,Limerick Co,510733,625567,18,10,8
 Rathronan , Abbeyfeale Rd.,Athea,Limerick Co,512410,635053,20,0,7
 unknown,South Mall ,Glin ,Limerick Co,513106,647113,4,0,4
Kilfergus, Kilfergus,Glin ,Limerick Co,513814,646966,38,23,0
unknown , East Mall ,Glin ,Limerick Co,513088,647184,3,1,2
Name unknown ,Main St. ,Ballingarry,Limerick Co,541308,636183,2,0,2
 Daar River Walk, Gortboy,Newcastlewest,Limerick Co,528680,634499,89,48,25
Woodfield Grove, Dromcollogher Rd.,Newcastlewest,Limerick Co,528607,632773,109,23,7
Name  Unknown, Dromcollogher Rd.,Newcastlewest,Limerick Co,528745,633421,4,0,0
 Knights Court, South Quay,Newcastlewest,Limerick Co,527320,633299,22,7,2
Ardmoyle,Carrigkerry,Newcastlewest,Limerick Co,521947,638717,13,5,0
 Cill Cluain, Church St.,Rathkeale,Limerick Co,535785,641470,55,36,5
 Blackabbey Gate, Black Abbey Cottages,Adare,Limerick Co,546005,646109,113,10,3
 The Village , Killarney Rd,Adare,Limerick Co,546172,645426,276,49,20
Ballyvareen , Kildimo,Kildimo,Limerick Co,545253,652723,63,55,2
An Curran,Pallas ,Pallaskenry,Limerick Co,541232,655518,54,24,5
 Roschioll,Pallas ,Pallaskenry,Limerick Co,541339,655513,19,18,1
Aos Cluan,Clarina,Clarina,Limerick Co,550600,653992,196,66,4
 Mungret Woods,Mungret ,Mungret,Limerick Co,554151,653593,58,44,3
Deel Manor , Askeaton,Askeaton,Limerick Co,533670,650324,140,118,2
unknown , Main St,Shanagolden,Limerick Co,525455,647442,2,1,1
Corrigig  Close, Main St ,Foynes ,Limerick Co,525612,651189,12,10,2
NEWCASTLE COURT,DUBLIN ROAD,LIMERICK,Limerick Co,561171,657347,17,14,3
BRU NA GRUDAIN,GROODY LINK ROAD,LIMERICK,Limerick Co,561104,656865,67,17,5
ARD AULIN,SKEHACREGGAUN,LIMERICK,Limerick Co,554415,654065,38,15,23
CLUAIN DUBH,"RAHEEN, OFF FR.RUSSELL RD.",LIMERICK,Limerick Co,554874,653989,76,74, 
CASTLEROCK, ,CASTLECONNELL,Limerick Co,566232,662164,176,113,29
CAISLEAN NUA,GOLF LINKS ROAD,CASTLETROY,Limerick Co,561577,657047,228,19,2
EVANWOOD,GOLF LINKS ROAD,CASTLETROY,Limerick Co,561971,655610,211,25,9
KYLEMORE, ,CASTLETROY,Limerick Co,562318,655976,283,117,21
ROS MOR,OLD CORK ROAD,LIMERICK,Limerick Co,560310,654929,251,56,17
DERYNANE,KILMALLOCK ROAD,LIMERICK,Limerick Co,560257,655135,34,28, 
CAISLEAN NA HABHANN,BROOKFIELD,LIMERICK,Limerick Co,561294,656345,107,97,2
WHITETHORNS,OFF FR.RUSSELL ROAD,LIMERICK,Limerick Co,554738,654331,8, ,2
THE OAKS,LISCREAGH,MURROE,Limerick Co,572758,655627,96,54,4
Cluinard,Fedamore,Fedamore,Limerick Co,559154,643949,45,25,2
 Bellview, Kilmallock,Kilmallock,Limerick Co,560330,628005,90,8,0
Name Unknown ,Charlivelle Rd,Bruree,Limerick Co,555403,630548,6,0,0
Baker  Place , Well Lane ,Rathkeale,Limerick Co,636494,641772,18,0,4
SLI NA MANACH,MUNGRET ROAD,LIMERICK,Limerick Co,554289,654157,145,8,2
BLOOMFIELD,NEWTOWN,CASTLETROY,Limerick Co,563298,656712,235,189,2
McArt Meadows,Leitrim TD.,Newtownforbes,Longford,613424,781605,12,2,6
Clonguish Court,Main Street,Newtownforbes,Longford,611056,779737,62,48,0
Sliabh Rua,Longford Road,Drumlish,Longford,614909,785188,12,8,4
Sliabh Cairbre,Drumlish,Drumlish,Longford,615571,785419,44,38,2
Sráid an Mhuilinn / Mill Street,Mill Road,Drumlish,Longford,615361,785904,14,13,1
Esker Glen,Mill Road,Drumlish,Longford,615413,786003,54,28,12
Mill Race park,Mill Road,Drumlish,Longford,615693,786000,57,13,3
Clós Naomh Padraig, Shanmullagh,Ballinamuck,Longford,618489,790814,25,16,4
Slí Corglass,Leggagh,Moyne,Longford,622196,794389,19,3,15
Lios na Croise,Rathmore,Aughnacliffe,Longford,626141,789108,23,19,4
Forthill,Rathmore,Aughnacliffe,Longford,625991,789014,75,20,4
Shantobar,St Johnstown,Ballinalee,Longford,622698,780596,43,12,18
Bothairín na Carraige,Longford Road,Ballinalee,Longford,622393,780826,4,1,3
No name - 4 dwellings on public road,Ennybegs,Ennybegs,Longford,617571,780499,4,2,1
Crann Úir,Ennybegs,Killoe,Longford,618154,780712,25,23,2
Carrig Glas Manor,Carrickglass Demense,Carrickglas,Longford,616839,777071,331,0,69
Radharc an Choill,Creeve,Cullyfad,Longford,618353,776829,32,0,5
Woodland Park,Cullyfad,Cullyfad,Longford,618606,777184,26,15,8
Radharc na Carraige-Rockview,Clondra,Clondra,Longford,606373,775635,5,0,5
The Mill,Clondra,Clondra,Longford,606082,775793,40,10,30
Rathcline Court,Main Street,Lanesborough,Longford,600620,769234,8,4,4
Radharc an Muileann,Knock,Lanesborough,Longford,601094,768754,34,5,9
Cnoc na Gaoithe,Knock,Lanesborough,Longford,601242,768638,73,65,8
Cluain na Sidhe,Killahsee & Aghakeeran,Killashee,Longford,607958,769888,69,54,11
Chapel Lane Apartments,Main Street / Chapel Lane,Edgeworthstown,Longford,625709,771704,35,20,10
Rath Ré,Smithfield,Legan ,Longford,624221,763779,28,0,0
The Hazelwood,Smythfield,Legan ,Longford,624293,763445,65,0,6
Corncrake Meadows,Drimanure,Abbeyshrule,Longford,622850,759430,26,12,1
Dúnáras,Ballymahon,Ballymahon,Longford,615974,757275,86,12,12
Auburn Village,Ballymahon,Ballymahon,Longford,615557,756938,36,28,8
Thomond Hall,Old Workhouse site,Ballymahon,Longford,615033,756543,245,99,21
Hill Crescent (Cuileann Beag),Creevaghbeg,Ballymahon,Longford,615775,756504,12,4,8
Creevaghbeg,Creevaghbeg,Ballymahon,Longford,616530,756538,92,61,31
Cluain Rí,Creevaghbeg,Ballymahon,Longford,615416,756177,163,38,6
An Drinan ( An Draighneán),Drinan,Ballymahon,Longford,614803,757740,35,17,18
Cloughree Well,Ballymahon Road,Kenagh,Longford,612689,763069,22,20,0
Clough Dillons,Ballymahon Road,Kenagh,Longford,612330,763256,69,42,3
Brookfield Park,Brookfield House Site,Kenagh,Longford,612326,763483,16,6,10
Cartron Road,Cartrons,Kenagh,Longford,612626,763750,6,0,5
No name - 2 dwellings on public road,Moydow Glebe,Moydow,Longford,614751,768571,2,0,2
Slí Moinear,Aughine,Moydow,Longford,614069,768406,13,11,2
Crannach,Longford Road,Kenagh,Longford,612175,763884,29,5,12
Cluain Caonach,Longford Road,Kenagh,Longford,612063,764132,29,19,10
The Rocks,Stonepark,Longford,Longford,612002,771876,22,22,0
Silver Birches,Stonepark,Longford,Longford,612667,771801,94,30,13
Higginstown Wood,Higginstown,Granard,Longford,633631,779954,26,22,0
Beechwood Park,Churchquarter,Granard,Longford,632613,781169,49,38,10
Greville Arms Court,Market St. / Main St.,Granard,Longford,633143,781066,14,0,14
No name -new shopping centre /mixed use dev. ,Churchquarter,Granard,Longford,633022,781313,73,0,0
Granada Retail Park Apartments,Ballyjamesduff Road,Granard,Longford,633967,781228,9,8,1
Cnoc na Gréine,"Ballyjamesduff Rd., Carragh, ",Granard,Longford,634048,781365,61,50,5
No name - 4 dwellings on rural public road. ,Cranalagh More,Cranalagh More,Longford,627273,773290,4,0,4
Mastersons Close,Kilbride,Abbeylara,Longford,636257,779589,10,8,0
An Rath Bheag,Abbeylara,Abbeylara,Longford,636416,779678,28,28,0
Bracklin Grove & Bracklin Park,Bracklin Road,Edgeworthstown,Longford,625393,772670,59,51,8
Cloverwell,Bracklin Road,Edgeworthstown,Longford,625491,772515,59,51,8
Mostrim Oaks,Tinnynarr,Edgeworthstown,Longford,625490,771593,125,112,6
Abhainn Glas,"Tinnynarr, Old Longford Road",Edgeworthstown,Longford,625361,772337,109,79,22
Chestnut View,Bracklon,Edgeworthstown,Longford,625291,773173,11,11,0
Shannon Park,Edgeworthstown,Edgeworthstown,Longford,625595,772159,92,84,7
Druid Glen,Abbeycartron,Longford Town,Longford,613204,776654,216,56,0
Melview Glen,Knockawalky Td.,Longford Town,Longford,614216,779347,25,18,7
Gleann Ríada,Ballyminion,Longford Town,Longford,612047,774539,221,80,12
No name,Bridge Street,Longford Town,Longford,613075,775652,22,0,22
The Brickfield,Abbeycartron,Longford Town,Longford,613789,776385,22,16,5
Battery Court,Demense Lane,Longford Town,Longford,612822,775844,94,5,43
Cartrun Breac,Lisbrack Road,Longford Town,Longford,612713,776531,149,73,19
Ard Michael ,Ballinalee Road,Longford Town,Longford,614333,775566,141,48,0
Leader Park,"Glack Td., Townparks",Longford Town,Longford,613926,774907,48,38,0
Dún Darrach & Ardnacassa Manor,"Knockahaw, Dublin Rd",Longford Town,Longford,614740,775012,91,78,6
Not Known,Ballyjamesduff Rd.,Abbeylara,Longford,636766,779812,7,1,1
Radharc an Dún,Bracklin ,Edgeworthstown,Longford,624218,774189,6,1,0
Cluain Dóire,Lamagh,Newtownforbes,Longford,611138,779240,33,17,2
Cáislean Breac, Lisbrack,Newtownforbes,Longford,611009,780003,16,10,2
Name not known. ,Newtownforbes Road,Drumlish,Longford,614673,785148,25,5,1
Cúirt Shanmullagh,Shanmullagh,Ballinamuck,Longford,618673,790620,16,0,16
No name ,Mosstown,Kenagh,Longford,612022,764408,12,0,0
Castle View,Hale St,Ardee,Louth,696821,790344,5,5,0
Clonmore,Hale St.,Ardee,Louth,697006,790175,147,147,0
Cuirt Na hAbhann,Tierney St,Ardee,Louth,696610,790672,51,40,5
Linen Court,Greenhills Road,Drogheda,Louth,710098,775673,12,0,12
Moorhall Rise,Hale St,Ardee,Louth,698812,790041,80,61,1
The Orchard,Hale St,Ardee,Louth,696681,790385,12,8,4
Not Known,44/46 Castletown Rd.,Dundalk,Louth,704477,808076,6,5,1
Bellfield Ave.,Dublin Rd.,Dundalk,Louth,705630,803487,150,0,2
Brickfield Gardens,Newery Rd.,Dundalk,Louth,704924,808815,34,14,0
Not Known,Carrickmacross Rd.,Dundalk,Louth,695661,801237,14,1,2
Not Known,Castletown Rd.,Dundalk,Louth,703718,808384,3,0,3
Chapel View,Tallonstown Rd.,Louth Village,Louth,695672,800735,30,24,6
Clois Delga,Bellewsbridge Rd.,Dundalk,Louth,703436,808689,224,163,27
Coulter place,Armagh Rd.,Dundalk,Louth,704499,808790,132,35,7
Knock Shee,Old Golf Links Rd.,Dundalk,Louth,705840,803607,83,3,0
Liscorrie,Bog lane ,Drogheda,Louth,708129,776609,180,23,4
Loughnatrave,Louth Rd,Knockbridge,Louth,699184,803334,99,74,25
Not Known,"Mullaghvalley 2, Dromiskin Rd.",Louth Village,Louth,696055,801146,2,0,0
Not Known,"Mullaghvalley 1, Dromiskin Rd.",Louth Village,Louth,696281,801039,4,0,0
Racecourse Meadows,Racecourse Rd.,Dundalk,Louth,705506,808930,206,0,3
Rosehall,Bog lane ,Drogheda,Louth,708092,776380,80,22,13
St Moctas Corner,Dundalk Rd.,Louth Village,Louth,695825,801184,4,0,1
Tallonsfield Manor,Louth Rd,Tallonstown,Louth,695753,798048,45,42,3
Not Known,Back Lane 1,Carlingford,Louth,718667,811711,12,11,0
Not Known,Back Lane 2,Carlingford,Louth,718685,811868,9,7,2
Castlehill Mews,Castle St.,Carlingford,Louth,718612,811921,3,0,0
Cluan Na Mara,Newery Rd.,Omeath,Louth,713825,817002,12,4,8
Cucuhulainn Heights,Liberties,Carlingford,Louth,719079,811094,100,61,29
Cul Na Rath,Knocknagoran,Omeath,Louth,713756,816764,8,0,0
Elmore Lawns,Knocknagoran,Omeath,Louth,713862,816548,18,14,4
Prospect house/ Hawes Hill,Knocknagoran,Omeath,Louth,713947,816650,27,15,4
Not Known,Knocknagoran,Omeath,Louth,713670,816745,14,14,0
Lismullen,Armagh Rd.,Dundalk,Louth,704665,808828,143,27,7
Loughanmore,Lordship,Jenkinstown,Louth,715560,806719,6,0,3
Meadow Grove,Liberties,Carlingford,Louth,719366,810706,16,2,0
Oyster Bay Court,Greenore Rd.,Carlingford,Louth,719475,811563,81,45,16
Railway Cottages,Lordship,Jenkinstown,Louth,713649,807092,12,3,1
Railway Village,Lordship,Jenkinstown,Louth,713550,807323,32,28,1
Shore Court,Newery Rd.,Omeath,Louth,713782,816928,16,4,12
Ard na Mara,Callystown,Clogherhead,Louth,715614,784337,52,47,2
Chapel Hill,Chapel Road,Clogherhead,Louth,715915,784111,11,8,3
Hillcrest,The Hill Upper Main Street,Clogherhead,Louth,715991,784134,8,7,1
The Beeches,Callystown,Clogherhead,Louth,715534,783606,63,48,5
Fr O'Donnell Park,Callystown,Clogherhead,Louth,715598,783865,154,154,0
College Manor,Hoey's Lane,Dundalk,Louth,705828,805315,174,111,24
Medebawn,Avenue Road,Dundalk,Louth,706176,806358,142,95,7
Carlinn Hall,Mullagharlin Road,Dundalk,Louth,705071,804705,234,7,16
None known,To rear of Foley's Cottage,Castlebellingham,Louth,705771,795559,4,2,2
The Coach House,Main Street,Castlebellingham,Louth,705838,795339,4,0,4
Bellingham Heights,Dublin Road,Castlebellingham,Louth,705916,795263,35,16,19
Castleview ,Main Street,Castlebellingham,Louth,705856,795613,16,0,4
Rivercourt,Rathmullan Road,Drogheda,Louth,707646,775219,28,28,0
Tullybrook,"Tullybrook, Tullyallen",Drogheda,Louth,706300,775990,191,20,10
Kingsley Meadows,Rathmullan Road,Drogheda,Louth,706952,775126,44,0,43
Boyne Meadow,"Mell, Slane Road",Drogheda,Louth,706508,775841,48,48,0
Blakely Close,Avenue Road,Dundalk,Louth,705593,806192,16,16,0
Golden Ridge,Lower Point Road,Dundalk,Louth,707720,807551,5,4,0
Súil Na Mara,Point Road,Dundalk,Louth,707294,807608,32,28,0
Ard Dealgan,Quay Street,Dundalk,Louth,705991,807607,73,0,73
Marlmount,"Knockbridge Road, Blackrock",Dundalk,Louth,705509,802966,318,32,11
Rockville,Rock Road,Blackrock,Louth,706564,803054,7,7,0
No name ,Seafield Road,Blackrock,Louth,705922,802778,4,2,2
Waterview,Lower Point Road,Dundalk,Louth,708148,807379,36,34,0
Harbour Grove,Lower Point Road,Dundalk,Louth,707419,807401,60,21,0
Great Northern Haven,Barrack Street,Dundalk,Louth,705704,807419,16,8,8
Sea Crest Manor,"Soldiers Point, Lower Point Rd.",Dundalk,Louth,708269,807518,65,27,0
The Towers,Point Road,Dundalk,Louth,707015,807573,36,0,0
Cloghanvary,John St.,Ardee,Louth,695834,790049,65,65,0
Rockfieid,Stoney Lane,Ardee,Louth,695712,786995,120,120,0
Unknown,Stoneylane,Ardee,Louth,695861,789449,20,20,0
McCreanors Terrace,McCreanors Terrace,Ardee,Louth,696423,790977,30,18,12
Glydeview,Louth Rd.,Tallonstown,Louth,695477,798055,35,35,0
Tallonsfield  ,Louth Rd.,Tallonstown,Louth,695385,797923,50,0,0
Gleann Alainn ,Drogheda Rd.,Tullyallen,Louth,704730,777618,144,142,2
Belfedock Manor,Baltray Rd.,Termonfeckin,Louth,713886,779648,51,0,2
Unknown,Baltray Rd.,Termonfeckin,Louth,713689,778327,3,0,1
Unknown,Baltray Rd.,Termonfeckin,Louth,713733,778336,4,3,0
Rockabil Cove,Clogherhead Rd.,Termonfeckin,Louth,714840,780919,8,8,0
Unknown,Seapoint Rd.,Termonfeckin,Louth,714183,780339,4,0,0
Priory Lodge,Sheetland Rd.,Termonfeckin,Louth,713787,780317,59,59,0
Windmill Cottages,Garvilla,Termonfeckin,Louth,714109,780918,4,2,2
Rathview,Callytown Rd,Termonfeckin,Louth,714319,780835,14,5,9
Ballywater Meadows,Clogherhead Rd.,Termonfeckin,Louth,714485,780760,70,3,1
The Stables,Clogherhead Rd.,Termonfeckin,Louth,714540,780630,27,22,5
Ard Na Tuire,Coast Rd.,Dromiskin,Louth,705134,798166,14,14,0
Unknown,Dundalk Rd,Dromiskin,Louth,705093,798505,25,13,0
Dromin Manor,Dunleer Rd.,Dromin,Louth,703024,789324,5,4,1
Kierans Wood,Collon Rd,Tinure Cross,Louth,704014,783382,7,1,1
Mullary Manor,Preist town Rd,Tinure Cross,Louth,704365,783541,12,5,5
Woodlands ,Drogheda Rd.,Dunleer,Louth,705414,787532,115,56,10
Doire Beag,Oriel Road,Collon,Louth,699555,782204,55,40,9
Oriel Heights,Drogheda Rd.,Collon,Louth,700086,782097,52,35,0
Cois Farraige,Old Golf Links Rd,Blackrock,Louth,706564,803054,45,11,3
No name - Mariner's Court development is located behind this site. , Cocklehill Rd.,Blackrock,Louth,702302,802068,3,0,0
Thorn Court,Drogheda Rd.,Ardee,Louth,696075,789750,14,0,0
Not Known,17 Church St.,Dundalk,Louth,704752,807852,11,0,0
Lis Na Dara,Carrickmacross Rd.,Dundalk,Louth,703397,806977,404,230,33
Stamanaran,Old Golf Links Rd.,Dundalk,Louth,705913,803362,87,10,18
Cullabala,Liberties,Carlingford,Louth,718639,811538,18,13,1
Earlsfort,Dublin Road,Haggardstown,Louth,705998,802648,204,24,21
Avourwen,Platin / Duleek Road,Drogheda,Louth,708719,774152,50,0,0
Beacon Court,Coes Road,Dundalk,Louth,706391,807474,38,20,4
Allenwood,Watery Lane,Tullyallen,Louth,704321,777785,45,12,1
Willowbrook,Dundalk Rd,Dromiskin,Louth,704544,799118,16,4,0
An Bulcan,Newline,Ballinrobe,Mayo,519256,763541,4, ,4
Bowers View,Bridge street,Ballinrobe,Mayo,519025,764522,22, ,22
Cornwater Place,Bridge street,Ballinrobe,Mayo,519036,764664,60,0,2
Waterside Abbey,Cloungowla Road,Ballinrobe,Mayo,519259,764799,38,35, 
Hazel Court,Friarsquarter,Ballinrobe,Mayo,520077,764263,62,52,6
Knocokatotaun,Ballinrobe Road,Kilmaine,Mayo,525586,759745,6, , 
Station Road,Station Road,Ballindine,Mayo,536564,769185,2, ,2
Newtown Manor,Scaradaun Road,Ballindine,Mayo,536227,769000,32, , 
lugnalisheen,Irishtown road,Ballindine,Mayo,537132,769720,27, ,1
Irishtown Community Housing,Ballindine Road,Irishtown,Mayo,541014,768635,12,7,5
Ballinvilla,Claremorris Road,Irishtown,Mayo,541392,768608,18,14,4
College Woods,Ballyhaunis Road,Claremorris,Mayo,535373,775510,18,15, 
Old Ballyhaunis Road,Old Ballyhaunis Road,Claremorris,Mayo,534886,775288,10,4,6
Lisbaun,Convent Road,Claremorris,Mayo,534362,776639,52,48,4
Mayfields,Mayfield,Claremorris,Mayo,533527,774525,61,15,5
Silverbridge ,Knock Road,Claremorris,Mayo,534235,775557,45,4,24
Ardroe,Ardroe,Claremorris,Mayo,533237,775908,42,32, 
Lisnaboley Lane,Ardroe,Claremorris,Mayo,533166,776082,52,7,1
Kilbeg,Kilbeg,Claremorris,Mayo,535738,775236,3,2,1
Ardcronan,Tower Road,Balla,Mayo,525716,783942,50,45,5
College Woods,Castlebar Road,Balla,Mayo,525228,784763,53,24,29
Hazel Court,Knock Road,Ballyhaunis,Mayo,549129,779777,9,3,6
Aghamore,Ballyhaunis Road,Aughamore,Mayo,545898,786675,3,1, 
Aghamore,Ballyhaunis Road,Aughamore,Mayo,545898,786675,3,1, 
Drumcrest,Ballyhaunis Road,Knock,Mayo,540143,783130,18,11, 
Carrowmore Drive,Main Street,Knock,Mayo,539045,782649,57,35,8
Maree Quarter,Main Street,Knock,Mayo,539161,782788,23,19,4
Glencara,Kiltimagh Road,Knock,Mayo,539393,783423,49,23,11
Carrowmore meadows,Kiltimagh Road,Knock,Mayo,539034,783965,107,57,7
Glenbrook,Kiltimagh Road,Knock,Mayo,538865,784033,87,31,7
Barley Hill Court,Castlebar Road,Bohola,Mayo,530373,795282,68,33,1
Oakwood,Kiltimagh Road,Bohola,Mayo,530889,795120,18,10,8
Cordarragh,Knock Road,Kiltimagh,Mayo,534248,788987,4, ,4
West Road ,West Road,Kiltimagh,Mayo,534256,789534,2, ,1
Highland Park,Highfield,Kilkelly,Mayo,544677,792014,36,27,2
Cois Abhainn,Kilkelly Road,Kilmovee,Mayo,554645,793600,15,2,8
Mill race,Chapel Street,Charlestown,Mayo,547854,801821,5,3,2
Kilbeagh Village,Knock Road,Charlestown,Mayo,548050,801741,70,38, 
Dun Na Ri,Dublin Road,Swinford,Mayo,538418,800016,25,20,1
Rath Dubh,Dublin Road,Swinford,Mayo,538492,799802,44,15,29
Cormullen,Providence Road,Foxford,Mayo,526956,804288,40,31,9
Derry Gurry,Pontoon Road,Foxford,Mayo,525630,804312,18,1,1
Sliabh Rua,Relief Road,Foxford,Mayo,527055,803835,18,13,5
Ballyvarry,Old Castlebar Road,Ballyvarry,Mayo,524222,794626,2,1, 
Cluain Abhainn,Ballinrobe Road,Westport,Mayo,501207,783093,5,,1
Riverside Court,Chapel street,Louisburgh,Mayo,480880,780716,11,5,6
Murrisk Abbey,Murrisk abbey,Murrisk,Mayo,491450,782571,26, , 
Grove Parks,Mill Street,Westport,Mayo,499792,784274,4,3,1
Bruach Na Habhann,Altamont Street,Westport,Mayo,500363,784441,100,72,28
Cois Abhainn,Altamont Street,Westport,Mayo,500787,783922,27,19,8
Carrowbaun,Lennane Road,Westport,Mayo,499720,782473,5,3, 
Shanleys Court,Bridge Street,Westport,Mayo,499711,784455,14, , 
Cedar Park,Newport road,Westport,Mayo,499572,785250,83,22,4
Sandymount Quay,The Quays,Newport,Mayo,497985,793207,11,5,6
Hill Street,Hill Street,Newport,Mayo,498361,794096,4, , 
Sli Na Misean,Louisburgh Road,Westport,Mayo,498752,783110,29,5, 
The Arches,Castlebar Street,Newport,Mayo,498031,793446,15,4,9
Black Oak Rise,Barrick Hill,Newport,Mayo,499005,794128,41,18,9
Carrabeg,Newport road,Castlebar,Mayo,513264,790640,160,49,9
Heather Vale,Garryduff,Castlebar,Mayo,513674,790998,48,17, 
Breaffy Cottages,Breaffy Road,Castlebar,Mayo,516510,789721,9,8, 
The Waterways,Ballinrobe Road,Castlebar,Mayo,514900,788576,49, , 
Cuslough,Ballinrobe Road,Castlebar,Mayo,515042,789012,40,30,10
College Woods,Westport Road,Castlebar,Mayo,513257,789094,144, ,4
Mall Mews,Rock Square,Castlebar,Mayo,514670,790282,8,5,3
New Antrim Street,New Antrim Street,Castlebar,Mayo,514629,790838,5,2,3
Castle House,Turlough Road,Castlebar,Mayo,515040,791406,4, ,4
The Woods,Turlough Road,Turlough,Mayo,519975,793338,22,4,5
Mount Pleasant,Breaffy ,Castlebar,Mayo,499720,782473,6,2,4
Slievemore,Atlantic Drive,Achill,Mayo,467405,801672,2, ,2
Dooagh,Dooagh,Achill,Mayo,460347,805142,4,3,1
Slievemore Apartments,Duggort,Achill,Mayo,467030,808255,13,7,6
Duggort Beach,Duggort,Achill,Mayo,467494,808734,5, , 
Duggort View,Slievemore Road,Achill,Mayo,467188,808548,12,7, 
Barcoon,Ballycroy Road,Bangor Erris,Mayo,486145,822945,7,5, 
Ballybeg,Ballybeg,Bangor Erris,Mayo,485904,823090,3, ,1
Owenmore Way,Belmullet,Bangor Erris,Mayo,485807,823250,4,3,1
Shore Road,Shore Road,Belmullet,Mayo,470380,831429,25,14, 
Barrets Plot East,Lurgacloy,Drum,Mayo,465269,827198,2,1, 
Suan Tra,Aghleam,Aghleam,Mayo,462086,820513,4, , 
Tallagh,Tallagh,Belmullet,Mayo,470218,834037,3,1,2
Bruach Na Mara,Barrack Street Belmullet,Belmullet,Mayo,470521,832329,11,8,3
Annagh Village,Crossmolina road,Lahardaun,Mayo,513366,811995,37,22,1
Chapel View,Chapel Road,Crossmolina,Mayo,513667,817156,22,17,5
Killibrone,Killibrone,Killala,Mayo,519882,831341,3,1,2
Bathra Green,Ballina Road,Killala,Mayo,520488,829744,18,4,14
Ard Na Mara,Market Street,Killala,Mayo,520341,830110,10,3,7
Nephin View,Killala Road,Ballina,Mayo,523563,821140,25,20,5
Abbey Court,killala Road,Ballina,Mayo,523932,821855,131,82, 
Friars Court,Killala Road,Ballina,Mayo,523849,820319,138,40, 
The Old Millstone,Killala Road,Ballina,Mayo,524180,820008,36,27,9
Lansyn,Boheransup,Ballina,Mayo,524671,819632,59,22,1
Quignalecka Apartments,Sligo Road,Ballina,Mayo,525799,819684,6, , 
Rathkip,Rathkip,Ballina,Mayo,526942,818011,3,2,1
Cois abhainn,Bonniconlon,Bonniconlon,Mayo,532681,818410,48,42,1
Church Manor,Church Road,Ballina,Mayo,527117,818385,41,38, 
The Glebe,Church Road,Ballina,Mayo,524435,818165,100,94, 
Church Road,Church Road,Ballina,Mayo,524625,818384,2,1, 
Waterstone,Foxford Road,Ballina,Mayo,523898,817700,19,12,7
James Connolly cresent,Connolly Street,Ballina,Mayo,524376,818725,3, ,3
BowGate Court,Bowgate Street,Ballinrobe,Mayo,519127,764197,23,16,7
