Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,x,y,TOTAL,Complete & occupied,Complete & vacant
Burnell Court,Northern Cross,"Malahide Road, D17",Dublin City,721043,740956,129,127,2
Scout Hall,Edenmore Avenue,"Coolock, D5",Dublin City,720945,739225,5,4,1
Marrsfield,Clongriffin,Clongriffin,Dublin City,722608,741312,508,164,15
Priory Hall,Hole in The Wall Road,Dublin 13,Dublin City,722102,741312,195,179,16
Belmayne Blocks P5 and P7,Belmayne,Clongriffin,Dublin City,721480,740853,341,153,188
Belmayne Block P20,Belmayne,Clongriffin,Dublin City,721748,740843,166, , 
Belmayne (Stanley Holdings),Belmayne,Clongriffin,Dublin City,721398,741050,430,390,40
College View ,Ballymun,Ballymun,Dublin City,715376,739720,25,16,9
The Plaza,Ballymun,Ballymun,Dublin City,715511,739899,154,125,29
Milners Square,Shanowen Road,Santry,Dublin City,716294,739072,264,32,97
The Waterfront,169 Drumcondra Road,Drumcondra,Dublin City,716139,736743,25,12,13
The garden House,Waterfall Ave,Farview,Dublin City,716602,736568,42,20,22
3 waterfall Avenue,Waterfall Avenue,Off Richmond Road,Dublin City,716600,736531,45,45,0
Fairview Close,Richmond Avenue,Off Richmond Road,Dublin City,716993,736237,149,126,0
Ballsbridge Avenue,Ballsbridge Avenue,Ballsbridge,Dublin City,717941,732577,4, ,4
HYDE SQUARE ,SOUTH CIRCULAR ROAD,KILMAINHAM,Dublin City,712962,733479,15,7,8
FITZWILLIAM POINT,BRIDGE STREET,RINGSEND,Dublin City,718072,733817,44,39,5
Cameron Court,Cork Street,,Dublin City,714033,733159,76,68,8
Chester Beatty Library,20 Shrewsbury Road,Ballsbridge,Dublin City,718284,731659,7,0,0
Camac Cresent,"Old Box Factory, Turvey Ave",Inchicore,Dublin City,712345,733679,112,97,15
Arnott Street, ,D8,Dublin City,715254,733084,4,1,3
Clancy Quay,South Circular Road,D8,Dublin City,712743,734242,775,11,400
Heuston South Quarter,St. John's Road West/Military Road,Kilmainham,Dublin City,713336,734019,343,250,12
IRISH TIMES DEVELOPMENT,D'OLIER  STREET, FLEET STREET,Dublin City,716001,734279,4,0,0
HERBERTON,SOUTH CIRCULAR ROAD,RIALTO,Dublin City,713702,733284,615,448,98
CITY SQUARE,GLOUSTER  STREET,GLOUSTER  STREET,Dublin City,716548,734299,27,5,22
The Waterways,Rathbourne,Ashtown,Dublin City,711563,737526,68, ,32
Clare Hall,Malahide Road,Dublin,Dublin City,720941,740350,355,207,48
Balcuris 5,Balbutcher Lane North,"Ballymun, D11",Dublin City,715061,740400,56,24,20
Sillogue 15 Emerald/Cluid,Gateway Crescent,"Ballymun, D9",Dublin City,715196,739668,35,0,0
Hill street,24a & 25 Hill St,Dublin 1,Dublin City,715782,735316,14,0,0
Blocks 12 & 16,Clongriffin,"Donaghmede, D13",Dublin City,723039,740807,120,95,
Goose Tavern Carpark,Sion Hill Road,"Drumcondra, D9",Dublin City,717108,737573,14, , 
Bunratty Refurbishment Project,Oscar Traynor Road,Coolock,Dublin City,719290,739559,104, , 
Sean Tracey House,Buckingham St/Empress Place,Dublin 1,Dublin City,716497,735354,53,0,0
U2 Tower,"Britain Quay, Sir John Rogersons Quay",Dublin 2,Dublin City,717826,734253,191,,
Barnwell,Hansfield,Ongar,Fingal,703575,739096,240,128,46
Barnwell,Hansfield,Ongar,Fingal,703733,739013,284, , 
Latchford,Hansfield, ,Fingal,704226,739870,74,32,12
Castlegrange,Hansfield, ,Fingal,704451,739865,382,167,33
Tyrrelstown,Cruise Park, ,Fingal,706636,742278,275,234,20
Heathfield,Cappagh,Finglas,Fingal,711295,739661,351,96,38
Creston Park,St Margarets Rd,Finglas,Fingal,713565,741022,162,78, 
Charlestown,St Margarets Rd,Finglas,Fingal,712826,740657,295,203,92
Achill Square,Waterville,Blanchardstown,Fingal,708538,739253,71,38,5
Falcon's View,Shopping Centre,Blanchardstown,Fingal,707030,739608,96, ,96
Phoenix Park Racecourse, ,Ashtown,Fingal,710470,737140,2314,541,45
Windmill,Porterstown,Clonsilla,Fingal,706393,737838,293,194, 
Parnell Estate, ,Mulhuddart,Fingal,706497,740809,276,196,80
Coilte Dolmville,Old Ballymun Crosroads,Ballymun,Fingal,715508,740484,75,51,24
Block F Geraldstown Woods,Santry Road,Ballymun,Fingal,715583,740426,111,91,20
Thuilla,Dunbo Hill,"Howth, D13",Fingal,728289,739230,5,2,3
Mayeston Hall,St Margarets,"Finglas, D11",Fingal,713885,741002,468,387,53
Farmleigh/Whitesgate,Farmleigh,Castleknock ,Fingal,709533,736426,263,216,47
Garland Ct ,Church St,Howth,Fingal,728663,739139,9,3,6
Castlemoyne Phase 1  St Samsons,Balgriffin Pk House,"Balgriffin, D17",Fingal,721514,741391,222,211,11
Castlemoyne Phase2,Balgriffin Pk House,"Balgriffin, D17",Fingal,721854,741601,123,12,2
Carrs Mill,Portrane Road,Donabate,Fingal,723452,750879,157,145,12
The Gallery Phase 2,Turvey Walk,Donabate,Fingal,722616,750204,37, , 
Regles,The Green,Lusk,Fingal,721059,754943,10,9,1
Glebe Manor,Dublin Road,Balrothery,Fingal,719769,761119,4,2,2
Bremore Pastures Way,Bremore,Balbriggan,Fingal,718310,764115,84,56,28
Hampton Gardens,Naul Road,Balbriggan,Fingal,718948,763549,157, ,38
Donabate East - no name,New Road,Donabate,Fingal,722318,749573,16, , 
Donabate East - no name,Beaverstown Road,Donabate,Fingal,723026,750923,9, , 
Ballalease Court,Portrane Road,Donabate,Fingal,722856,750253,12,8,4
St Judes,Ballease West,Donabate,Fingal,722902,750095,14,13,1
Dun Emer Phase 6,Dun Emer,Lusk,Fingal,720776,754266,46,44,2
Ballough - no name,Dublin Road,Lusk,Fingal,721432,754128,15, , 
Lusk Village- Phase 6,Lusk Village,Lusk,Fingal,721899,754527,32, , 
Palmer Avenue- Phase 2,Palmer Road,Rush,Fingal,726100,755315,11,2, 
Kilbrush Lane,Rush,Rush,Fingal,726853,754369,13, , 
Golf Road - no name,Golf Road/Sundrive Road,Rush,Fingal,725778,753770,7, , 
Rear 44 Church Street,Church Street,Skerries,Fingal,725362,760257,6, , 
Mill Hill Park,Mill Hill,Skerries,Fingal,724941,760028,10, , 
Mountgorry,Malahide Road,Swords,Fingal,718939,746350,13,,
Bremore Pastures Drive,Bremore,Balbriggan,Fingal,718236,763955,42,10,28
No. 22,College Street,Baldoyle,Fingal,724451,740192,3, , 
No 112,Dublin Road,Sutton,Fingal,725122,739339,30, , 
Town Centre,Bridge Street,Swords,Fingal,718050,746885,46, , 
St Colmcilles Court,Main Street,Swords,Fingal,718078,746746,6,,
1 Windmill Lands,Brackenstown,Swords,Fingal,717319,746769,4, , 
Fosterstown North,Fosterstown,Swords,Fingal,717562,745246,91, , 
Forest Road,Forest Road,Swords,Fingal,716821,745361,37,,
Ridgewood - Phase 7A,Forest Road,Swords,Fingal,716660,745332,157,39,30
Cedar Grove,Ridgewood,Swords,Fingal,716769,745817,182,73,28
St Olaves,Malahide Road,Kinsealy,Fingal,721209,743310,36,33,3
Michael Barrable site,Feltrim Road,Swords,Fingal,719834,745266,36,34,2
Crowcastle,Holywell,Swords,Fingal,718556,745080,99, , 
"No 4, 4a, 4b, 4c",Drynam road,Swords,Fingal,718933,746007,12, , 
Gannons site,Drinan,Kinsealy,Fingal,719333,745053,213, , 
Heeley View,Dublin Road,Malahide,Fingal,722735,746070,17,15,2
Corner New Street/The Green,New Street,Malahide,Fingal,722619,746242,10, , 
McCabes Site,The Hill,Malahide,Fingal,722765,745489,41, , 
Abbeywell,Chapel Road,Kinsealy,Fingal,721368,743233,51,47,4
Gannons site,Kettles Lane,Kinsealy,Fingal,719913,745063,62, , 
Gravel Field,Drinan,Kinsealy,Fingal,719893,745134,7, , 
Nerney Site,Kettles Lane,Kinsealy,Fingal,719829,745384,43, , 
Robswall,Coast Road,Malahide,Fingal,723746,745441,518,311,51
Galtrim Grange,Broomfield,Malahide,Fingal,722620,744676,111,99,12
Seamount House,Seamount Road,Malahide,Fingal,723556,745114,138, , 
Seamount Abbey,Seamount Road,Malahide,Fingal,722965,745215,32,23,8
Abington,Swords Road,Malahide,Fingal,720822,745626,22,20,2
The Warren,Swords Road,Malahide,Fingal,720638,745951,6,5, 
Lynam Site,Back Road,Malahide,Fingal,721352,744691,10,,
Spring Cottage,Millview Road,Malahide,Fingal,721279,746037,5,4,1
The Warren,Swords Road,Malahide,Fingal,720709,745986,6,4,1
Mabestown,Dublin Road,Malahide,Fingal,721151,744707,12, , 
Gillen Site,Estuary Road,Malahide,Fingal,720705,746208,8,,
The Casino,Dublin Road,Malahide,Fingal,722287,746139,115,88,27
The Estuary,Estuary Road,Malahide,Fingal,720561,746028,9,6,3
Adj Lissadel Woods,Swords Road,Malahide,Fingal,720435,746130,17, ,
Dunard,Swords Road,Malahide,Fingal,720481,746118,19, , 
Birchwell Site,Kinsealy Lane,Malahide,Fingal,721611,744323,22, , 
Brackenwood Lane,Flemington,Balbriggan,Fingal,718533,764032,4, , 
Aldi site,Clonard hill,Balbriggan,Fingal,719795,763464,103, , 
Balscadden Devs site,Flemington Lane,Balbriggan,Fingal,717805,764284,178, , 
Woods site,Hamlett Lane,Balbriggan,Fingal,719180,764149,16, , 
Bremore Pastures Way,Bremore,Balbriggan,Fingal,718348,763917,84,56,28
Bremore Pastures ,Bremore,Balbriggan,Fingal,718507,764007,147,103,36
The Hastings,Bremore,Balbriggan,Fingal,718277,764095,120,111,9
Bremore Crescent,Bremore,Balbriggan,Fingal,718253,763936,42,14,11
Hastings Lawn,Bremore,Balbriggan,Fingal,718224,764089,33,19,14
Casleland Rise,Castleland,Balbriggan,Fingal,720555,762952,42,40,2
Hampton - no name ,Naul Road,Balbriggan,Fingal,719093,763499,12, , 
Hampton - no name ,Naul Road,Balbriggan,Fingal,718798,763474,998, , 
Bremore Lodge,Hamlet lane,Balbriggan,Fingal,719781,764487,73, , 
Bremore castle,Hamlet Lane,Balbriggan,Fingal,719415,764419,84,81,3
Glebe Manor,Dublin Road,Balrothery,Fingal,719765,761109,4,2,2
Cloch Choirneal,Old Coach Road,Balrothery,Fingal,720026,761233,6,,
Knocksedan,Naul road,Brackenstown,Fingal,715556,746177,188, , 
152 Howth Road,Howth Road,Howth,Fingal,726269,739459,3, , 
Cluxton Site,Balscadden Road,Howth,Fingal,728785,739102,6,,
Garland Court,Church Street,Howth,Fingal,728667,739140,9,3,6
Wallace Site,Carrickbrack Road,Howth,Fingal,727031,737896,5,,
The Summit,Baily Green,Howth,Fingal,729221,737579,26, ,
Hazel Hatch,Thormanby Road,Howth,Fingal,729136,738518,7,6,1
Keverville Site,Thormanby Road,Howth,Fingal,728789,738783,4, , 
Wallace Site,Carrickbrack Road,Howth,Fingal,727057,737782,5, , 
Brymore Lodge,Thormanby Road,Howth,Fingal,729094,738682,8, ,8
The Rectory,94 Howth Road,Howth,Fingal,727477,739413,5,2, 
Drumnigh Woods,Drumnigh Road,Portmarnock,Fingal,722569,742016,202, , 
Burke Site,Blackwood Lane,Portmarnock,Fingal,723503,744376,4,3,1
