quarter,region,Persons aged 15 years and over in Employment (Thousand),Unemployed Persons aged 15 years and over (Thousand),Persons aged 15 years and over in Labour Force (Thousand),ILO Unemployment Rate (15 - 74 years) (%),ILO Participation Rate (15 years and over) (%)
01/04/2012,Mid-East,222.7,35.8,258.5,13.9,63.4
01/07/2012,Mid-East,223.5,35.9,259.4,13.8,63.5
01/10/2012,Mid-East,225.5,32,257.5,12.5,62.8
01/01/2013,Mid-East,220.6,36.7,257.3,14.3,63.2
01/04/2013,Mid-East,219,36.9,255.8,14.5,63
01/07/2013,Mid-East,216.7,35.9,252.6,14.3,62.2
01/10/2013,Mid-East,225.9,32.2,258.1,12.5,63.3
01/01/2014,Mid-East,225.1,29.6,254.7,11.7,62.4
01/04/2014,Mid-East,228.5,27.7,256.2,10.9,62.5
01/07/2014,Mid-East,229.6,27.4,257,10.7,62.3
01/10/2014,Mid-East,237.9,22,259.9,8.5,62.6
01/01/2015,Mid-East,234.6,19.7,254.3,7.8,61.3
01/04/2015,Mid-East,232.7,22.2,254.9,8.7,61.6
01/07/2015,Mid-East,231.2,20.3,251.5,8.1,60.8
01/10/2015,Mid-East,235.8,19.3,255.1,7.6,61.5
01/01/2016,Mid-East,231.4,14.5,245.9,5.9,58.9
01/04/2016,Mid-East,242.2,17.7,259.9,6.9,61.9
01/07/2016,Mid-East,239.5,17.7,257.2,6.9,61.1
01/10/2016,Mid-East,241.6,13.5,255.1,5.3,60.5
01/01/2017,Mid-East,243.6,12.7,256.2,5,60.4
01/04/2017,Mid-East,247.4,15.2,262.5,5.8,61.4
01/01/1998,Mid-West,127.5,10.4,137.9,7.6,55.9
01/04/1998,Mid-West,130,9.2,139.3,6.6,56.1
01/07/1998,Mid-West,136.3,8.3,144.6,5.8,57.8
01/10/1998,Mid-West,133.1,7.3,140.4,5.2,55.8
01/01/1999,Mid-West,135.7,8,143.7,5.6,57
01/04/1999,Mid-West,138.2,8.3,146.5,5.7,57.9
01/07/1999,Mid-West,147.7,8.1,155.7,5.2,61.2
01/10/1999,Mid-West,144.2,6.8,151.1,4.6,59
01/01/2000,Mid-West,144.3,6.9,151.1,4.6,58.9
01/04/2000,Mid-West,144.7,7.2,151.9,4.8,58.9
01/07/2000,Mid-West,151,6.5,157.5,4.1,60.7
01/10/2000,Mid-West,146.1,5.7,151.8,3.8,58.1
01/01/2001,Mid-West,143.6,5.9,149.6,4,57.1
01/04/2001,Mid-West,145.4,5.6,151.1,3.7,57.4
01/07/2001,Mid-West,152.5,7.5,159.9,4.7,60.5
01/10/2001,Mid-West,150.6,5.9,156.5,3.8,58.9
01/01/2002,Mid-West,150.3,6.3,156.6,4,58.7
01/04/2002,Mid-West,151.2,5.6,156.8,3.6,58.6
01/07/2002,Mid-West,154.8,5.9,160.7,3.7,59.8
01/10/2002,Mid-West,149.4,6.4,155.8,4.1,57.9
01/01/2003,Mid-West,151.2,6.6,157.7,4.2,58.5
01/04/2003,Mid-West,152.8,7.8,160.6,4.9,59.4
01/07/2003,Mid-West,156.1,9.1,165.2,5.5,61
01/10/2003,Mid-West,152.6,7.8,160.4,4.9,59
01/01/2004,Mid-West,156,8.5,164.5,5.2,60.4
01/04/2004,Mid-West,158.7,8.5,167.2,5.1,61.2
01/07/2004,Mid-West,160.8,9.3,170.1,5.5,61.8
01/10/2004,Mid-West,160.1,8.3,168.4,4.9,60.8
01/01/2005,Mid-West,161.8,8.1,169.9,4.8,61
01/04/2005,Mid-West,165.5,8.9,174.4,5.1,62.3
01/07/2005,Mid-West,171.8,8.9,180.7,4.9,64
01/10/2005,Mid-West,172.4,6.9,179.2,3.8,63
01/01/2006,Mid-West,173.4,7.9,181.3,4.4,63.4
01/04/2006,Mid-West,174.6,7.8,182.4,4.3,64
01/07/2006,Mid-West,173,10.3,183.4,5.7,63.9
01/10/2006,Mid-West,171.5,8.7,180.2,4.9,62.4
01/01/2007,Mid-West,172.2,10.5,182.8,5.8,62.9
01/04/2007,Mid-West,175,10,185,5.5,63.4
01/07/2007,Mid-West,173.4,10.4,183.8,5.7,62.6
01/10/2007,Mid-West,173.2,9.5,182.7,5.2,61.7
01/01/2008,Mid-West,173.2,9.9,183,5.4,61.5
01/04/2008,Mid-West,174.2,11.7,185.9,6.3,62.3
01/07/2008,Mid-West,167.6,15.1,182.7,8.3,61.2
01/10/2008,Mid-West,168.5,16.1,184.6,8.8,61.8
01/01/2009,Mid-West,160.2,20.9,181.1,11.6,60.7
01/04/2009,Mid-West,158.1,23.9,182,13.2,60.9
01/07/2009,Mid-West,156,25.4,181.3,14,60.6
01/10/2009,Mid-West,155.4,26.3,181.6,14.5,60.7
01/01/2010,Mid-West,150.4,27.1,177.5,15.3,59.3
01/04/2010,Mid-West,151.2,29.9,181.2,16.6,60.5
01/07/2010,Mid-West,152.1,30.3,182.4,16.7,60.9
01/10/2010,Mid-West,151,31.1,182.1,17.1,61
01/01/2011,Mid-West,153.9,28.6,182.6,15.8,61.2
01/04/2011,Mid-West,156.7,29.9,186.6,16.1,62.8
01/07/2011,Mid-West,154,31.5,185.5,17,62.3
01/10/2011,Mid-West,154.6,29.1,183.7,15.9,61.6
01/01/2012,Mid-West,150.4,28.6,179,16,60
01/04/2012,Mid-West,150.1,28.9,178.9,16.2,59.9
01/07/2012,Mid-West,150.9,30,180.9,16.7,60.5
01/10/2012,Mid-West,150.1,27.4,177.5,15.5,59.6
01/01/2013,Mid-West,146.5,27,173.5,15.6,58.6
01/04/2013,Mid-West,150.9,26.2,177.1,14.8,59.8
01/07/2013,Mid-West,153.1,24.5,177.6,13.8,60
01/10/2013,Mid-West,151.3,18.2,169.5,10.7,57.2
01/01/2014,Mid-West,144.5,22.2,166.7,13.3,56.6
01/04/2014,Mid-West,148,22.5,170.5,13.2,57.8
