Year,Business,Statistic,Count
2009,Administrative and support service activities (N),Persons Engaged (Number),1255
2009,Education (P),Persons Engaged (Number),2218
2009,"ICT services (261 to 264,268,465,582,61,62,631)",Persons Engaged (Number),925
2009,"Business economy excluding activities of holding companies (B to N,-642)",Persons Engaged (Number),29403
2010,Mining and quarrying (B),Persons Engaged (Number),142
2010,Manufacturing (C),Persons Engaged (Number),4524
2010,"Electricity, gas, steam and air conditioning supply (D)",Persons Engaged (Number),15
2010,"Water supply, sewerage, waste management and remediation activities (E)",Persons Engaged (Number),152
2010,Construction (F),Persons Engaged (Number),3537
2010,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Persons Engaged (Number),7638
2010,Transportation and storage (H),Persons Engaged (Number),1447
2010,Accommodation and food service activities (I),Persons Engaged (Number),5536
2010,Information and communication (J),Persons Engaged (Number),1168
2010,Financial and insurance activities excluding activities of holding companies (K-642),Persons Engaged (Number),340
2010,Real estate activities (L),Persons Engaged (Number),453
2010,"Professional, scientific and technical activities (M)",Persons Engaged (Number),1489
2010,Administrative and support service activities (N),Persons Engaged (Number),947
2010,Education (P),Persons Engaged (Number),2193
2010,"ICT services (261 to 264,268,465,582,61,62,631)",Persons Engaged (Number),995
2010,"Business economy excluding activities of holding companies (B to N,-642)",Persons Engaged (Number),27388
2011,Mining and quarrying (B),Persons Engaged (Number),174
2011,Manufacturing (C),Persons Engaged (Number),4571
2011,"Electricity, gas, steam and air conditioning supply (D)",Persons Engaged (Number),18
2011,"Water supply, sewerage, waste management and remediation activities (E)",Persons Engaged (Number),173
2011,Construction (F),Persons Engaged (Number),3259
2011,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Persons Engaged (Number),7589
2011,Transportation and storage (H),Persons Engaged (Number),1437
2011,Accommodation and food service activities (I),Persons Engaged (Number),5495
2011,Information and communication (J),Persons Engaged (Number),1268
2011,Financial and insurance activities excluding activities of holding companies (K-642),Persons Engaged (Number),350
