id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9710523,Studio close city center,10179665,Tib,,Dublin City,53.35876,-6.26169,Entire home/apt,50,1,1,2015-12-25,0.02,1,0
9722299,Bright & Modern Ground Floor Duplex,21647384,Paul,,Dublin City,53.35613,-6.24005,Entire home/apt,90,5,1,2016-01-05,0.02,1,0
9722820,Private Room In City Centre,50182547,Karel,,Dublin City,53.35,-6.24142,Private room,35,1,1,2016-04-24,0.02,1,0
9726403,Stunning Flat in Iconic High Rise.,40884266,Eugene,,Dublin City,53.34184,-6.23764,Entire home/apt,350,2,22,2020-02-19,0.42,2,346
9726633,Welcoming single room for one D15,29207245,Breda,,Fingal,53.4037,-6.4303,Private room,30,2,19,2020-03-06,0.39,2,336
9728442,Large Modern Apartment in Sandyford,48089944,Darragh,,Dn Laoghaire-Rathdown,53.27647,-6.21847,Private room,50,1,0,,,1,269
9730671,Private secure detached flat.,47884767,Jack,,Dublin City,53.32183,-6.20942,Entire home/apt,69,1,318,2020-03-14,6.10,1,261
9742084,Ensuite Double Bedroom,2002122,Sabina,,Dublin City,53.33749,-6.23201,Private room,70,3,33,2019-10-14,0.66,1,0
9745411,"Near Leixlip,Lucan,Celbridge, M4",50274260,Paul,,South Dublin,53.35431,-6.47614,Private room,30,7,6,2017-05-31,0.13,1,252
9748309,Sion Hill Apartment Complex,10366521,Bailey,,Dn Laoghaire-Rathdown,53.30573,-6.18712,Private room,27,1,1,2016-03-06,0.02,1,0
9750299,"Nice Appartment in Dublin Center,",36721258,Kévin,,Dublin City,53.35529,-6.24779,Private room,70,1,0,,,1,0
9750379,STYLISH APARTMENT 2 Beds 2 Bathrooms - CITY CENTRE,12584522,Shay,,Dublin City,53.34937,-6.24341,Entire home/apt,160,1,133,2020-03-08,2.59,1,10
9752642,CityCentre Apartment for St. Pat's,50288226,Tarek,,Dublin City,53.34263,-6.24746,Entire home/apt,400,1,0,,,2,0
9768644,Temporary Single Room/ Shared Bath,33961844,Alisha,,Dn Laoghaire-Rathdown,53.22492,-6.12552,Private room,25,1,0,,,1,0
9781504,"The Spinnaker, Aran Quay",48697324,Aine,,Dublin City,53.34637,-6.27493,Entire home/apt,125,1,0,,,1,0
9784716,Stunning Dalkey hidden gem.....,22651658,Clare,,Dn Laoghaire-Rathdown,53.27323,-6.0956,Entire home/apt,1000,2,29,2020-02-23,0.63,1,288
9785317,Large Double Bedroom Dublin 1,49292978,Josh,,Dublin City,53.35838,-6.2528,Private room,55,1,7,2017-02-25,0.14,1,0
9785384,Double bedroom near city centre,34986830,Victor,,Dublin City,53.35875,-6.27001,Private room,40,1,0,,,1,0
9785774,Perfect room for 2 w/private shower,17833199,Damien,,Dublin City,53.34273,-6.2965,Private room,40,1,0,,,1,0
9804066,single room in a quiet area,50517052,Sharon,,Fingal,53.40938,-6.23284,Private room,42,1,211,2018-10-22,4.09,1,171
