id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32512958,Stunning 2bed1bath Apartment in City+,244298639,Kevin,,Dublin City,53.36147,-6.25882,Entire home/apt,192,1,16,2019-08-30,1.76,26,323
32513174,Lovely 2 bedroom apartment in City+,244298639,Kevin,,Dublin City,53.36417,-6.25715,Entire home/apt,192,1,12,2019-07-14,1.41,26,320
32513857,Contemporary Apartment in South Dublin,242227936,Tom,,Dublin City,53.32877,-6.24838,Entire home/apt,500,2,23,2019-10-14,2.86,1,0
32515533,Beautiful one bedroom apartment.,244319042,Sarah,,South Dublin,53.30852,-6.32285,Entire home/apt,100,4,5,2019-07-24,0.57,1,161
32517484,Beautiful  apartment in a listed Georgian House,244334701,Maura,,Dublin City,53.32837,-6.26056,Entire home/apt,120,2,45,2019-11-03,5.29,1,100
32522635,"Modern, family friendly house in Dublin 14",32023380,Niamh,,South Dublin,53.29796,-6.28213,Entire home/apt,200,5,0,,,1,0
32523540,"Bright and Relaxing Cosy Studio in Rathgar, D6",22801049,MyHolistay Dublin,,Dublin City,53.31536,-6.27172,Entire home/apt,75,20,4,2019-06-03,0.51,2,31
32523911,"Bright spacious room in Monkstown, Co. Dublin",96865484,Tracy,,Dn Laoghaire-Rathdown,53.29586,-6.15811,Private room,100,1,6,2019-09-14,0.71,2,1
32526206,Private Single bedroom in  Castleknock,14325081,Cherry,,Fingal,53.37386,-6.39923,Private room,34,2,25,2019-10-16,2.94,2,50
32535204,Modern One Bedroom Apartment by Grand Canal Dock,30597941,Sinem,,Dublin City,53.34151,-6.23116,Entire home/apt,100,14,1,2019-02-21,0.11,2,0
32538049,"Couzy,warm & bright house in D15",244075541,Nora,,Fingal,53.39541,-6.43059,Private room,31,1,92,2019-11-16,10.18,1,85
32538169,Dun Laoghaire- mins from Main St./seafront 6 beds.,244506460,Sean,,Dn Laoghaire-Rathdown,53.28747,-6.1337,Private room,131,2,5,2019-04-23,0.59,1,0
32538273,Townhouse,225463844,Joan,,Dublin City,53.31312,-6.30116,Private room,55,2,24,2019-10-28,2.70,1,0
32542146,Beautiful Bushy park,36620470,Michael,,South Dublin,53.30002,-6.29458,Entire home/apt,170,3,15,2019-11-02,3.15,1,7
32547569,Luxury home in walking distance of city centre.,23119020,Nicola,,Dublin City,53.33127,-6.25177,Entire home/apt,300,4,1,2019-03-18,0.12,1,68
32548807,"White Door C - 1 Bed, shared room (Girls only)",127935371,Gabriela,,Dublin City,53.35765,-6.27958,Shared room,22,4,7,2019-11-08,0.83,20,40
32549009,Superb Penthouse in the Heart of Dublin!,64202703,Kjetil,,Dublin City,53.3444,-6.25163,Entire home/apt,800,4,4,2019-10-01,0.47,1,0
32549012,White Door - Private Room 15min From City Center,127935371,Gabriela,,Dublin City,53.35821,-6.28098,Private room,33,5,6,2019-10-11,1.25,20,27
32564202,Cosy & Bright 3-BR house in Central Dublin,244137029,Fiona,,Dublin City,53.33452,-6.26641,Entire home/apt,500,2,24,2019-06-30,2.83,1,54
32571620,Excellent 1BR Apartment in City+,244298639,Kevin,,Dublin City,53.36385,-6.25773,Entire home/apt,112,1,17,2019-11-09,1.90,26,329
32572089,Happy Apartment+,244298639,Kevin,,Dublin City,53.36398,-6.25773,Entire home/apt,112,1,5,2019-07-21,0.59,26,248
32572319,Pretty Apartment in Central City+,244298639,Kevin,,Dublin City,53.36383,-6.25686,Entire home/apt,112,1,9,2019-07-01,1.00,26,301
32585481,Pretty 1BR Apartment+,244298639,Kevin,,Dublin City,53.36543,-6.25694,Entire home/apt,112,1,2,2019-06-26,0.28,26,319
32585758,Nice 1BR Penthouse Apartment+,244298639,Kevin,,Dublin City,53.36526,-6.25803,Entire home/apt,112,1,10,2019-08-17,1.20,26,329
